"AnswerCorrectness","AnswerRelevancy","Faithfulness","ContextRelevance","ContextRecall"
0.7318899137278103,0.29915360016083287,1.0,1.0,1.0
0.4871757825406152,0.3224159936488009,1.0,1.0,1.0
0.6815853785837185,0.36586469812055844,1.0,1.0,1.0
0.4215501078451161,0.23043006958342438,1.0,0.25,0.0
0.9353291567489024,0.375584582007307,1.0,1.0,1.0
0.540440301117288,0.2100051224977231,1.0,1.0,1.0
0.8542897697859493,0.7026011678098473,0.75,1.0,1.0
0.07071603677843524,0.0,0.0,1.0,1.0
0.7217961845932275,0.0,0.7,1.0,1.0
0.14088935755377952,0.5014323813322047,0.5,1.0,0.0
0.775558335145672,0.4976542474811756,0.8863636363636364,1.0,1.0
0.6886048750751154,0.7566914192787291,1.0,1.0,0.5
0.5001355776142562,0.3345493806479682,0.8888888888888888,1.0,0.6666666666666666
0.8405745964813002,0.37756670643119633,0.9722222222222222,1.0,0.6
0.5010541579345893,0.0,0.625,1.0,0.875
0.6994254397922528,0.4428061293650242,1.0,1.0,1.0
0.4144357417615786,0.46863656361532563,1.0,1.0,0.5
0.4287166405559002,0.48614500013786066,1.0,1.0,0.6666666666666666
0.9494698460622101,0.46854686316951893,1.0,1.0,1.0
0.6479190541953037,0.3763764437107784,1.0,1.0,0.75
0.5183817724731312,0.2853530645892602,1.0,1.0,0.5
0.4012815419652558,0.38658489540654584,0.8888888888888888,1.0,1.0
0.4097581771206451,0.11741584928769899,0.9285714285714286,1.0,1.0
0.5049194051783141,0.4960084032112344,1.0,1.0,1.0
0.6187546362683239,0.3409463114693821,0.375,1.0,0.5714285714285714
0.3374654086678037,0.47514707898530256,1.0,1.0,0.6666666666666666
0.5916633474147286,0.21525147182961737,1.0,1.0,1.0
0.9595023698687606,0.37031313194679316,1.0,1.0,0.5833333333333334
0.705398339663664,0.27951950640128004,1.0,1.0,1.0
0.7049480633988543,0.2639478550246837,1.0,1.0,0.9166666666666666
0.6328581163172098,0.2838710488389375,0.8181818181818182,1.0,1.0
0.46133534999392967,0.2754136145556215,0.6666666666666666,1.0,0.0
0.13351125267949,0.41832735372247837,0.5945945945945946,0.75,1.0
0.5312282959100413,0.2513007935002753,0.39285714285714285,0.0,1.0
0.8178102247152794,0.4044127718980959,0.8148148148148148,1.0,1.0
